#{"t_start": 1684285730.4376502, "env_id": "RobotEnv-v2"}
r,l,t
-158.340249,500,278.558559
-143.64979,500,381.736461
-71.926725,500,482.967947
-136.148581,500,585.883648
-186.898655,500,688.095701
-159.724097,500,790.505474
-183.814209,500,893.945928
-155.145607,500,996.239857
-195.395906,500,1098.2666
-98.969122,500,1202.425425
-191.261894,500,1305.215283
-171.929691,500,1408.894112
-143.211431,500,1509.504157
-140.587763,500,1613.271731
-184.936398,500,1716.197292
-189.632119,500,1965.641705
-146.889971,500,2068.259421
-176.588794,500,2172.572839
-171.183549,500,2277.308691
-175.027427,500,2380.623465
-157.894594,500,2482.083004
-172.982183,500,2585.154544
-191.040218,500,2688.624712
-194.782976,500,2792.718852
-176.59907,500,2895.23085
-165.259467,500,2996.862947
-183.300107,500,3100.345941
-200.719363,500,3204.3965
-192.99113,500,3306.966779
-177.27477,500,3409.869162
-173.732677,500,3650.500562
-174.600856,500,3754.379477
-139.319699,500,3858.726952
-149.677713,500,3960.265222
-198.584068,500,4061.899618
-164.0198,500,4163.862592
-166.765014,500,4268.865946
-153.151099,500,4368.180574
-148.091786,500,4458.4721
-197.961974,500,4559.214231
-133.666558,500,4662.570179
-170.57672,500,4766.531896
-164.330311,500,4868.596707
-158.870516,500,4973.673683
-199.677959,500,5077.850658
-166.248098,500,5321.662506
-183.086888,500,5424.806089
-168.924904,500,5529.984449
-172.944456,500,5633.68415
-166.784282,500,5737.737292
-181.874761,500,5839.042665
-156.548367,500,5942.309568
-152.496888,500,6045.254136
-182.505818,500,6150.179688
-122.3166,500,6254.607313
-157.301247,500,6357.428191
-145.560766,500,6457.333017
-174.489835,500,6561.115782
-152.393766,500,6664.933892
-183.751764,500,6766.420851
-147.284229,500,7009.662342
-146.575585,500,7115.713182
-159.219261,500,7219.55141
-186.113713,500,7322.89053
-164.783213,500,7424.10379
-151.889746,500,7528.251982
-142.875135,500,7634.594393
-152.652494,500,7741.662776
-185.277488,500,7844.102937
-124.559294,500,7947.937993
-117.448299,500,8052.969874
-102.668437,500,8157.380182
-122.808074,500,8263.302056
-124.18874,500,8367.603142
-126.169528,500,8472.771291
-180.359421,500,8715.626398
-178.685799,500,8819.542075
-160.347565,500,8921.502633
-174.924703,500,9022.693863
-147.377451,500,9121.110099
-180.850525,500,9217.498069
-170.633751,500,9318.011028
-172.017661,500,9422.823723
-171.280647,500,9525.454241
-167.439342,500,9629.729471
-178.216267,500,9732.706126
-175.917291,500,9833.820683
-172.07622,500,9939.37828
-181.622118,500,10044.832649
-179.90755,500,10146.803634
-186.53156,500,10389.930193
-192.30748,500,10495.967555
-145.07832,500,10599.616298
-178.763015,500,10704.155478
-191.38061,500,10808.069519
-181.909377,500,10912.855596
-160.999098,500,11016.382397
-138.988537,500,11120.094225
-194.213671,500,11223.159315
-195.993333,500,11325.24258
-201.367977,500,11425.900663
-158.126866,500,11529.690245
-134.380167,500,11634.846994
-141.072857,500,11739.507629
-133.866917,500,11841.075077
-174.08315,500,12084.416147
-173.805997,500,12188.067908
-132.455936,500,12291.583514
-173.134018,500,12395.898171
-195.827653,500,12500.4359
-177.467775,500,12604.073866
-158.228269,500,12709.490633
-159.326304,500,12813.983204
-178.514347,500,12917.004262
-158.179464,500,13021.348273
-178.624554,500,13124.024496
-148.71463,500,13227.090283
-156.620577,500,13329.619374
-156.200281,500,13431.507668
-188.538477,500,13534.617535
-154.897538,500,13775.805976
-163.968863,500,13872.510193
-187.582596,500,13968.991978
-165.650673,500,14070.148856
-162.319787,500,14171.42473
-164.453365,500,14275.608066
-126.545796,500,14382.287901
-138.080217,500,14486.591443
-181.25595,500,14591.433833
-95.397066,500,14694.848362
-186.333278,500,14799.046674
-158.880976,500,14905.818159
-159.765174,500,15009.68934
-169.095636,500,15112.561964
-153.051712,500,15214.476537
-168.633726,500,15466.736939
-186.65292,500,15571.882252
-178.662142,500,15675.147008
-173.743415,500,15778.753968
-182.890701,500,15883.624121
-179.503526,500,15986.182591
-179.20045,500,16088.369138
-149.848331,500,16192.043991
-188.460469,500,16296.142017
-168.853634,500,16402.035896
-174.109028,500,16505.661865
-192.208117,500,16607.777291
-188.501961,500,16710.112036
-164.335621,500,16814.614034
-149.130838,500,16919.762262
-169.910378,500,17171.16869
-146.687616,500,17275.106235
-157.91121,500,17379.475119
-156.9087,500,17482.398124
-184.509797,500,17587.195796
-194.03243,500,17689.012344
-182.512129,500,17791.602041
-171.880445,500,17897.23297
-177.803966,500,18000.234299
-193.233547,500,18105.239012
-176.848984,500,18205.730355
-165.886956,500,18294.624072
-192.29748,500,18365.243833
-160.618569,500,18418.342444
-184.72758,500,18471.080583
-172.337287,500,18681.230704
-171.128458,500,18769.840905
-179.773751,500,18858.190379
-168.286711,500,18947.453933
-171.127734,500,19035.844387
-173.320848,500,19124.377422
-169.907355,500,19205.855001
-179.642456,500,19288.301424
-170.204058,500,19377.162984
-165.206607,500,19466.615784
-166.814372,500,19555.955923
-167.711475,500,19645.978582
-178.599725,500,19734.670898
-163.83694,500,19823.704094
-163.791094,500,19912.551597
-155.027213,500,20126.662098
-188.986632,500,20205.806002
-176.035352,500,20294.721306
-145.834796,500,20384.635777
-145.967439,500,20474.539881
-138.311347,500,20564.102621
-164.432188,500,20652.989027
-162.130311,500,20741.53229
-158.865464,500,20794.756671
-159.993207,500,20847.286191
-177.66788,500,20901.270241
-156.763944,500,20983.407228
-169.166683,500,21072.324183
-146.425528,500,21161.967109
-181.053991,500,21242.287369
-162.592062,500,21478.037221
-179.331948,500,21567.571075
-165.352812,500,21655.85494
-164.675542,500,21745.479954
-173.450906,500,21833.838031
-160.144403,500,21922.231982
-171.587368,500,22011.715305
-173.077011,500,22100.043819
-173.540418,500,22175.338478
-183.221088,500,22264.689393
-199.172736,500,22353.364864
-165.260628,500,22442.335372
-141.487893,500,22531.964605
-155.799255,500,22621.224386
-182.817932,500,22710.681587
-177.998289,500,22927.986073
-186.031876,500,23017.369747
-165.02881,500,23099.658061
-169.96644,500,23181.104697
-159.620783,500,23238.753991
-172.946443,500,23290.533955
-189.149414,500,23342.819105
-168.624003,500,23420.367295
-184.275094,500,23509.106396
-157.924506,500,23598.921028
-182.620367,500,23688.231684
-185.914146,500,23777.107511
-172.821621,500,23866.446214
-169.092209,500,23956.42169
-158.12806,500,24045.904817
-203.628845,500,24249.795781
-174.374902,500,24338.516795
-165.915301,500,24427.983133
-176.197584,500,24516.644596
-179.816107,500,24605.577771
-168.921405,500,24695.222403
-170.616724,500,24784.46256
-148.127601,500,24874.655906
-154.590727,500,24963.639413
-184.972197,500,25052.209637
-159.493155,500,25142.134505
-177.527529,500,25213.096466
-202.286535,500,25301.326683
-157.591398,500,25390.407311
-179.929578,500,25479.158809
-133.487834,500,25691.136945
-174.136641,500,25743.491888
-114.132678,500,25796.927838
-187.943469,500,25851.823955
-192.347051,500,25942.002256
-149.206049,500,26031.324653
-200.191871,500,26120.820582
-158.624056,500,26210.777225
-135.468583,500,26291.004559
-182.003155,500,26369.520766
-148.788658,500,26460.109436
-138.807321,500,26550.289158
-78.237505,500,26641.346152
-145.081356,500,26732.663124
-166.526416,500,26821.567797
-193.606027,500,27040.409899
-138.822161,500,27131.160722
-180.04431,500,27220.488415
-134.920241,500,27293.097782
-197.550761,500,27381.768251
-157.211293,500,27470.810154
-157.488912,500,27561.122534
-193.124204,500,27650.037323
-195.541206,500,27739.144161
-189.874467,500,27828.815401
-168.418256,500,27917.257064
-168.1874,500,28006.862187
-165.420157,500,28095.828197
-190.961834,500,28177.559868
-158.074597,500,28230.269374
-180.974201,500,28400.89972
-146.725236,500,28491.079256
-157.762282,500,28580.806592
-173.083855,500,28669.997745
-179.386175,500,28758.441401
-171.893345,500,28847.603042
-169.375816,500,28937.765319
-155.508866,500,29027.614254
-168.545325,500,29116.941994
-178.299171,500,29205.191403
-163.606514,500,29294.936376
-168.617075,500,29364.287691
-169.069712,500,29454.039814
-171.970526,500,29542.528787
-170.685455,500,29631.157312
-123.953746,500,29853.15964
-204.895216,500,29942.230193
-167.129124,500,30031.395108
-198.820255,500,30120.189164
-152.214052,500,30209.217287
-177.429035,500,30292.982882
-166.41834,500,30370.890558
-175.529147,500,30459.893989
-201.476401,500,30548.88679
-181.189988,500,30637.292988
-111.438545,500,30716.458562
-139.16141,500,30770.417319
-184.995923,500,30822.761954
-193.104718,500,30879.185402
-196.958412,500,30967.791207
-142.580204,500,31206.241909
-184.680904,500,31294.886361
-166.151504,500,31383.358063
-200.586571,500,31452.109409
-160.211421,500,31540.981227
-196.176012,500,31630.574103
-157.494387,500,31719.381089
-187.828499,500,31807.677185
-194.445345,500,31896.030046
-158.466494,500,31985.565482
-196.123887,500,32073.547425
-159.585831,500,32162.969385
-178.565359,500,32251.071238
-159.464905,500,32340.623847
-157.823505,500,32410.441773
-163.410596,500,32647.94246
-160.325874,500,32736.886767
-174.414855,500,32825.731849
-114.994084,500,32917.335486
-174.09827,500,33006.669574
-176.64131,500,33096.196638
-193.747235,500,33184.776436
-178.26407,500,33256.312834
-149.541117,500,33309.423984
-156.504633,500,33362.534132
-128.860879,500,33425.072902
-139.335725,500,33514.327474
-119.50265,500,33582.849249
-166.561742,500,33671.597071
-156.229244,500,33761.579517
